T20I #,World Cup Match?,Winner,Date,Batting First,Team 1 Runs,Team 1 Wickets,Team 1 Overs,Team 1 Adjusted Run Rate,Batting Second,Team 2 Runs,Team 2 Wickets,Team 2 Overs,Team 2 Adjusted Run Rate,Ground,City,Country
327,False,Pakistan,8/24/2013,Pakistan,179,1,20.0,8.95,Zimbabwe,160,6,20.0,8.0,Harare Sports Club,Harare,Zimbabwe
328,False,Australia,8/29/2013,Australia,248,6,20.0,12.4,England,209,6,20.0,10.45,The Rose Bowl,Southampton,England
329,False,England,8/31/2013,England,195,5,20.0,9.75,Australia,168,9,20.0,8.4,Riverside Ground,Chester-le-Street,England
330,False,Afghanistan,9/30/2013,Afghanistan,162,6,20.0,8.1,Kenya,56,10,18.4,3.0,Sharjah Cricket Stadium,Sharjah,UAE
331,False,India,10/10/2013,Australia,201,7,20.0,10.05,India,202,4,19.4,10.27118644,Saurashtra Cricket Association Stadium,Rajkot,India
332,False,Kenya,10/11/2013,Kenya,149,4,20.0,7.45,Afghanistan,115,8,20.0,5.75,Sharjah Cricket Stadium,Sharjah,UAE
333,False,New Zealand,11/6/2013,New Zealand,204,5,20.0,10.2,Bangladesh,189,9,20.0,9.45,Shere Bangla National Stadium,Dhaka,Bangladesh
334,False,South Africa,11/13/2013,Pakistan,98,9,20.0,4.9,South Africa,99,1,14.3,6.827586207,Dubai International Cricket Stadium,Dubai,UAE
335,False,Netherlands,11/15/2013,Afghanistan,90,10,19.1,4.5,Netherlands,92,3,12.5,4.6,Sharjah Cricket Stadium,Sharjah,UAE
336,False,South Africa,11/15/2013,South Africa,150,5,20.0,7.5,Pakistan,144,9,20.0,7.2,Dubai International Cricket Stadium,Dubai,UAE
337,False,Afghanistan,11/16/2013,Afghanistan,171,6,20.0,8.55,Scotland,154,6,20.0,7.7,Sharjah Cricket Stadium,Sharjah,UAE
338,False,Ireland,11/16/2013,Ireland,168,5,20.0,8.4,Canada,166,3,20.0,8.3,Sheikh Zayed Stadium,Abu Dhabi,UAE
339,False,Kenya,11/19/2013,Kenya,183,7,20.0,9.15,Scotland,91,10,13.2,6.825,ICC Academy,Dubai,UAE
340,False,South Africa,11/20/2013,South Africa,153,7,20.0,7.65,Pakistan,60,2,9.1,6.545454545,New Wanderers Stadium,Johannesburg,South Africa
341,False,Sri Lanka,11/21/2013,New Zealand,142,7,20.0,7.1,Sri Lanka,143,2,17.5,8.018691589,Pallekele International Cricket Stadium,Kandy,Sri Lanka
342,False,Scotland,11/22/2013,Scotland,165,4,20.0,8.25,Netherlands,150,6,20.0,7.5,ICC Academy,Dubai,UAE
343,False,Pakistan,11/22/2013,Pakistan,176,4,20.0,8.8,South Africa,170,4,20.0,8.5,Newlands,Cape Town,South Africa
344,False,Netherlands,11/23/2013,Netherlands,130,7,20.0,6.5,Kenya,101,9,20.0,5.05,ICC Academy,Dubai,UAE
345,False,Afghanistan,11/24/2013,Afghanistan,148,9,20.0,7.4,Kenya,114,10,18.2,6.218181818,Sharjah Cricket Stadium,Sharjah,UAE
346,False,Kenya,11/26/2013,Kenya,146,7,20.0,7.3,Canada,125,10,19.2,6.465517241,Sharjah Cricket Stadium,Sharjah,UAE
347,False,Netherlands,11/28/2013,Scotland,147,6,20.0,7.35,Netherlands,149,2,17.5,8.355140187,Sheikh Zayed Stadium,Abu Dhabi,UAE
348,False,Ireland,11/30/2013,Ireland,225,7,20.0,11.25,Afghanistan,157,10,18.5,8.336283186,Sheikh Zayed Stadium,Abu Dhabi,UAE
349,False,Pakistan,12/8/2013,Afghanistan,137,8,20.0,6.85,Pakistan,138,4,19.5,6.957983193,Sharjah Cricket Stadium,Sharjah,UAE
350,False,Pakistan,12/11/2013,Sri Lanka,145,5,20.0,7.25,Pakistan,146,7,19.1,7.617391304,Dubai International Cricket Stadium,Dubai,UAE
351,False,Sri Lanka,12/13/2013,Sri Lanka,211,3,20.0,10.55,Pakistan,187,10,19.2,9.672413793,Dubai International Cricket Stadium,Dubai,UAE
352,False,New Zealand,1/11/2014,New Zealand,189,5,20.0,9.45,West Indies,108,8,20.0,5.4,Eden Park,Auckland,New  Zealand
353,False,New Zealand,1/15/2014,West Indies,159,5,20.0,7.95,New Zealand,163,6,19.0,8.578947368,Westpac Stadium,Wellington,New Zealand
354,False,Australia,1/29/2014,Australia,213,4,20.0,10.65,England,200,9,20.0,10.0,Bellerive Oval,Hobart,Australia
355,False,Australia,1/31/2014,England,130,9,20.0,6.5,Australia,131,2,14.5,8.831460674,Melbourne Cricket Ground,Melbourne,Australia
356,False,Australia,2/2/2014,Australia,195,6,20.0,9.75,England,111,10,17.2,6.403846154,Stadium Australia,Sydney,Australia
357,False,Sri Lanka,2/12/2014,Sri Lanka,168,7,20.0,8.4,Bangladesh,166,7,20.0,8.3,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
358,False,Sri Lanka,2/14/2014,Bangladesh,120,10,19.5,6.0,Sri Lanka,123,7,20.0,6.15,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
359,False,Ireland,2/19/2014,West Indies,116,8,20.0,5.8,Ireland,117,4,19.1,6.104347826,Sabina Park,Kingston,West Indies
360,False,West Indies,2/21/2014,West Indies,96,9,20.0,4.8,Ireland,85,8,20.0,4.25,Sabina Park,Kingston,West Indies
361,False,West Indies,3/9/2014,West Indies,170,3,20.0,8.5,England,143,9,20.0,7.15,Kensington Oval,Bridgetown,West Indies
